Days_to_Flowering;Days_to_Maturity;First_Pod_Height_cm;Branch_Number;Plant_Height_cm;Biological_Yield_g;Pod_Number;Pod_Weight_g;Pod_Length_cm;Seeds_per_Pod;Seeds_per_Plant;Single_Plant_Yield_g;Plot_Yield_kg_da;Seed_Weight_100_g;Pod_Filling_Rate;Seed_to_Pod_Ratio;Seed_Unit_Weight;Pod_Length_Yield_Index;Plant_Yield_Ratio;Vegetation_Period_days
45;111;45.10000000000001;4.200000000000001;96.4;40.599999999999994;9.8;19.39;6.9;3.0;17.6;13.830000000000002;146.43;110.13;1.9765545361875636;1.7940876656472988;1.1010789324247585;2.806078147612156;4.138634046890926;66
45;111;52.8;4.3999999999999995;96.6;33.3;4.2;11.680000000000001;6.200000000000001;3.0;8.0;10.0;197.96;125.88;2.774346793349169;1.9002375296912115;1.4581772784019977;1.8808373590982286;7.909738717339667;66
45;111;46.599999999999994;3.8;101.40000000000002;49.54;6.0;18.3;7.6;2.8;13.399999999999997;19.48;116.83;138.2;3.0449251247920137;2.229617304492512;1.3646532438478751;2.4047306176084104;8.242928452579035;66
45;106;38.8;2.0;81.6;30.119999999999997;6.599999999999999;18.85;7.5;2.2;15.4;15.4;296.52;151.28;2.851739788199698;2.3298033282904695;1.2232316677482156;2.5099866844207726;4.556732223903178;61
45;106;32.8;3.0;80.4;38.230000000000004;7.25;18.2;8.25;3.25;16.0;14.059999999999997;195.67;133.22;2.5068870523415976;2.203856749311295;1.1367895065584008;2.2033898305084745;5.265840220385676;61
45;105;21.0;2.4000000000000004;59.2;17.699999999999996;5.3999999999999995;11.17;6.599999999999999;3.0;11.6;10.79;186.12;121.26;2.0646950092421443;2.144177449168207;0.9621016365202412;1.6898638426626327;3.271719038817005;60
45;104;20.400000000000002;1.59614;57.0;16.82;11.6;10.619999999999997;6.6;2.6000000000000005;10.6;7.25;178.12;119.71;0.9147286821705425;0.9130060292850991;1.0009425070688027;1.6066565809379725;1.4487510766580536;59
45;104;29.0;3.0;69.6;33.949999999999996;7.2;18.959999999999997;7.6;3.2;17.2;14.830000000000002;189.4;115.93;2.629680998613037;2.3855755894590844;1.1016850668216152;2.491458607095926;4.708737864077669;59
49;104;14.8;2.1999999999999997;69.0;15.84;5.3999999999999995;6.83;6.0;2.8;10.2;5.529999999999999;113.1;110.46;1.2624768946395566;1.8853974121996304;0.6689520078354555;1.1364392678868553;2.9279112754158967;55
45;103;28.200000000000006;2.1999999999999997;70.19999999999999;24.03;8.0;13.86;6.3999999999999995;2.8;15.6;11.290000000000001;177.05;131.22;1.7303370786516854;1.9475655430711611;0.8878923766816144;2.1622464898595943;3.0;58
45;103;26.8;2.2;77.6;22.990000000000002;5.0;13.100000000000003;7.8;2.4000000000000004;13.0;10.72;212.94;126.56;2.614770459081837;2.594810379241517;1.0069177555726367;1.6773367477592835;4.588822355289421;58
50;102;28.399999999999995;3.8;71.20000000000002;31.05;6.6;12.010000000000002;7.2;1.70506;8.6;9.21;73.73;85.42;1.8169440242057493;1.3010590015128594;1.3948896631823464;1.665742024965326;4.697428139183057;52
45;102;23.2;3.8;86.0;45.370000000000005;8.8;10.08;7.1;3.0;14.0;5.67;107.37;96.31;1.1441543700340522;1.5891032917139614;0.7194860813704497;1.417721518987342;5.149829738933031;57
45;106;41.3;2.5999999999999996;88.6;34.39;6.400000000000001;13.190000000000001;7.2;2.8;13.0;10.490000000000002;116.88;102.41;2.0577223088923557;2.0280811232449296;1.013835511145273;1.8294036061026353;5.365054602184086;61
51;106;27.4;2.3999999999999995;74.00000000000001;25.75;7.199999999999998;14.349999999999998;7.4;2.6000000000000005;15.2;11.459999999999999;109.12;112.33;1.9902912621359226;2.108183079056866;0.9434582511505588;1.9365721997300942;3.5714285714285725;55
45;105;27.8;2.8;80.19999999999999;24.03;8.2;12.960000000000003;6.5;3.0;18.4;10.7;304.62;152.67;1.5785627283800248;2.241169305724726;0.703965236284628;1.9907834101382493;2.926918392204629;60
45;105;38.39999999999999;3.6;92.2;42.54;9.0;23.3;8.2;2.8000000000000003;19.2;20.240000000000002;156.23;129.33;2.586015538290788;2.130965593784684;1.212909942738157;2.8380024360535936;4.72142064372919;60
45;107;30.2;2.2;90.19999999999999;31.670000000000005;9.0;15.539999999999997;8.34;3.2;16.200000000000003;11.549999999999999;310.67;147.74;1.724750277469478;1.7980022197558272;0.9586674892041945;1.861077844311377;3.514983351831299;62
45;107;23.2;2.4;89.4;33.58;7.6;18.35;8.4;2.8000000000000003;18.2;14.030000000000001;316.69;156.77;2.411300919842313;2.3915900131406045;1.0076880834706206;2.1819262782401903;4.412614980289093;62
45;106;36.599999999999994;3.6;87.6;39.22;9.2;20.810000000000002;8.3;3.8;16.0;15.95;274.9;144.63;2.2595005428881656;1.737242128121607;1.2998126171143036;2.5042117930204575;4.258414766558089;61
45;107;29.800000000000004;3.0;86.8;40.62;8.8;23.729999999999997;8.1;3.1999999999999997;19.2;18.39;283.1;149.46;2.693530079455164;2.1793416572077184;1.2352941176470587;2.9260172626387173;4.610669693530079;62
45;107;39.60000000000001;2.8;92.6;42.95000000000001;10.2;22.540000000000003;6.9;3.400000000000001;22.399999999999995;18.089999999999996;337.45;151.66;2.2076395690499515;2.1939275220372183;1.0058009817045965;3.261939218523879;4.206660137120472;62
51;106;45.0;3.8;86.0;34.459999999999994;8.2;15.020000000000001;6.1;2.4;13.6;11.68;209.06;144.9;1.829476248477467;1.656516443361754;1.1036002939015432;2.4582651391162034;4.197320341047503;55
49;106;37.6;3.0;76.6;26.839999999999996;6.0;9.76;7.5200000000000005;3.0;10.5;8.65;261.07;126.45;1.6239600665557405;1.7470881863560732;0.928639391056137;1.296148738379814;4.465890183028286;57
45;106;36.6;3.400000000000001;89.6;53.31;10.799999999999999;31.550000000000004;8.2;3.0;21.6;25.04;353.36;164.13;2.9185938945420915;1.9981498612395934;1.4599722350763535;3.8428745432399523;4.93154486586494;61
